Date,States,Action_Buckets,Bucket_Value
2021-01-29,Assam,30,200
2021-01-29,Delhi,16,200
2021-01-29,Jharkhand,35,200
2021-01-29,Maharashtra,116,200
2021-01-29,Nagaland,2,200
2021-01-30,Assam,30,200
2021-01-30,Delhi,16,200
2021-01-30,Jharkhand,35,200
2021-01-30,Maharashtra,116,200
2021-01-30,Nagaland,2,200
2021-01-31,Assam,30,200
2021-01-31,Delhi,16,200
2021-01-31,Jharkhand,35,200
2021-01-31,Maharashtra,116,200
2021-01-31,Nagaland,2,200
2020-12-27,Assam,45,300
2020-12-27,Delhi,24,300
2020-12-27,Jharkhand,53,300
2020-12-27,Maharashtra,175,300
2020-12-27,Nagaland,4,300
2020-12-28,Assam,45,300
2020-12-28,Delhi,24,300
2020-12-28,Jharkhand,53,300
2020-12-28,Maharashtra,175,300
2020-12-28,Nagaland,4,300
2020-12-29,Assam,45,300
2020-12-29,Delhi,24,300
2020-12-29,Jharkhand,53,300
2020-12-29,Maharashtra,175,300
2020-12-29,Nagaland,4,300
2020-12-30,Assam,45,300
2020-12-30,Delhi,24,300
2020-12-30,Jharkhand,53,300
2020-12-30,Maharashtra,175,300
2020-12-30,Nagaland,4,300
2020-12-31,Assam,45,300
2020-12-31,Delhi,24,300
2020-12-31,Jharkhand,53,300
2020-12-31,Maharashtra,175,300
2020-12-31,Nagaland,4,300
2021-01-01,Assam,45,300
2021-01-01,Delhi,24,300
2021-01-01,Jharkhand,53,300
2021-01-01,Maharashtra,175,300
2021-01-01,Nagaland,4,300
2021-01-02,Assam,45,300
2021-01-02,Delhi,24,300
2021-01-02,Jharkhand,53,300
2021-01-02,Maharashtra,175,300
2021-01-02,Nagaland,4,300
2021-01-03,Assam,45,300
2021-01-03,Delhi,24,300
2021-01-03,Jharkhand,53,300
2021-01-03,Maharashtra,175,300
2021-01-03,Nagaland,4,300
2021-01-04,Assam,45,300
2021-01-04,Delhi,24,300
2021-01-04,Jharkhand,53,300
2021-01-04,Maharashtra,175,300
2021-01-04,Nagaland,4,300
2021-01-05,Assam,45,300
2021-01-05,Delhi,24,300
2021-01-05,Jharkhand,53,300
2021-01-05,Maharashtra,175,300
2021-01-05,Nagaland,4,300
2021-01-06,Assam,45,300
2021-01-06,Delhi,24,300
2021-01-06,Jharkhand,53,300
2021-01-06,Maharashtra,175,300
2021-01-06,Nagaland,4,300
2021-01-07,Assam,45,300
2021-01-07,Delhi,24,300
2021-01-07,Jharkhand,53,300
2021-01-07,Maharashtra,175,300
2021-01-07,Nagaland,4,300
2021-01-08,Assam,45,300
2021-01-08,Delhi,24,300
2021-01-08,Jharkhand,53,300
2021-01-08,Maharashtra,175,300
2021-01-08,Nagaland,4,300
2021-01-09,Assam,45,300
2021-01-09,Delhi,24,300
2021-01-09,Jharkhand,53,300
2021-01-09,Maharashtra,175,300
2021-01-09,Nagaland,4,300
2021-01-10,Assam,45,300
2021-01-10,Delhi,24,300
2021-01-10,Jharkhand,53,300
2021-01-10,Maharashtra,175,300
2021-01-10,Nagaland,4,300
2021-01-11,Assam,45,300
2021-01-11,Delhi,24,300
2021-01-11,Jharkhand,53,300
2021-01-11,Maharashtra,175,300
2021-01-11,Nagaland,4,300
2021-01-12,Assam,45,300
2021-01-12,Delhi,24,300
2021-01-12,Jharkhand,53,300
2021-01-12,Maharashtra,175,300
2021-01-12,Nagaland,4,300
2021-01-13,Assam,45,300
2021-01-13,Delhi,24,300
2021-01-13,Jharkhand,53,300
2021-01-13,Maharashtra,175,300
