"Date","State...UT","Confirmed.cases","Deceased.cases","Recovered.Cases","Susceptible","Death.Rate","Recovery.Rate","Overall.Hospital.Beds","Overall.ICU.Beds","Ventilators","Age.Distribution","Population","Action","Reward","Percentage.Distribution"
"2020-12-05","Delhi",576277.4050631,6313.71296313782,512712.863394874,16211663.5949369,0.142722734129503,11.5899759957911,39455,1973,986,2343806,16787941,84,99.952,8.42441812315831
"2020-12-05","Jharkhand",115754.4468785,1263.30331600465,106287.353852522,32872379.5531215,0.245196667761338,20.6294914765447,26496,1325,662,4528093,32988134,181,31.308,17.0821870585289
"2020-12-05","Maharashtra",1964260.135957,21120.6798769062,1711695.0048532,110410072.864043,0.139484178878713,11.3042938785224,231739,11587,5793,19912066,112374333,585,25.887,57.3747791747645
"2020-12-05","Nagaland",13081.9307029501,137.123943576093,10176.7684274001,1965420.06929705,0.0714439336098333,5.30227142633449,2561,128,64,211983,1978502,15,75.599,1.02133382884754
"2020-12-06","Assam",231958.587306801,2511.88375882451,210720.085503717,30973617.4126932,0.231290789174307,19.4028146007202,24178,1209,604,4127732,31205576,153,57.0604,16.0990382731195
"2020-12-06","Delhi",581460.239157001,6360.3669618797,514970.651990456,16206480.760843,0.13798296800336,11.1718678218007,39455,1973,986,2343806,16787941,84,99.93,8.42358031885755
"2020-12-06","Jharkhand",117295.815232199,1274.115489746,106561.586922055,32870838.1847678,0.218479339023681,18.2726803523018,26496,1325,662,4528093,32988134,181,32.177,17.0851494339576
"2020-12-06","Maharashtra",1996200.060443,21369.8194993921,1719611.84082112,110378132.939557,0.129138092895379,10.3916363753222,231739,11587,5793,19912066,112374333,585,24.89585,57.3708186238905
"2020-12-06","Nagaland",13361.8598364701,139.519868326792,10275.5139533719,1965140.14016353,0.06866377899369,5.05702612539965,2561,128,64,211983,1978502,15,75.623,1.02141335017495
"2020-12-07","Assam",235951.4705857,2538.17939196023,211305.374947993,30969624.5294143,0.201529063988251,16.7774486562464,24178,1209,604,4127732,31205576,153,57.0604,16.1008411226543
"2020-12-07","Delhi",586861.7478601,6409.52291883372,517324.469918546,16201079.2521399,0.133315997728325,10.7601811757025,39455,1973,986,2343806,16787941,84,99.93,8.42280160053231
"2020-12-07","Jharkhand",119040.888297401,1286.39323115282,106872.077705183,32869093.1117026,0.19478095246115,16.18217865486,26496,1325,662,4528093,32988134,181,32.177,17.0883584828293
"2020-12-07","Maharashtra",2031106.200966,21643.3010486543,1728266.52257122,110343226.799034,0.119609111700159,9.55105799624406,231739,11587,5793,19912066,112374333,585,24.89585,57.3664934802442
"2020-12-07","Nagaland",13658.31386389,142.079207667498,10380.1040038654,1964843.68613611,0.0659880624852817,4.82099360529785,2561,128,64,211983,1978502,15,75.623,1.02150531373995
"2020-12-08","Assam",240581.8624046,2568.70779743608,211984.206910308,30964994.1375954,0.175833243634317,14.5107476753456,24178,1209,604,4127732,31205576,153,57.0604,16.1026798543301
"2020-12-08","Delhi",592495.6867602,6461.19174202902,519780.410361313,16195445.3132398,0.128761361684475,10.3584038498168,39455,1973,986,2343806,16787941,84,99.93,8.42209334251995
"2020-12-08","Jharkhand",121017.365743399,1300.32425555231,107223.760843876,32867116.6342566,0.173804844786349,14.3318168766781,26496,1325,662,4528093,32988134,181,32.177,17.0918377876838
"2020-12-08","Maharashtra",2069270.41892099,21943.1785304644,1737732.15065214,110305062.581079,0.110859025149798,8.77918811649392,231739,11587,5793,19912066,112374333,585,24.89585,57.3617776629392
"2020-12-08","Nagaland",13972.5037875101,144.807764990414,10490.9685687821,1964529.49621249,0.0634305554197635,4.59538867444837,2561,128,64,211983,1978502,15,75.623,1.02161135252696
"2020-12-09","Assam",245952.2125136,2604.13912907405,212771.646548474,30959623.7874864,0.153665260812654,12.5552472198499,24178,1209,604,4127732,31205576,153,57.0604,16.1045401052778
"2020-12-09","Delhi",598375.346864801,6515.41090475234,522344.376547045,16189565.6531352,0.124343593044852,9.9686999847175,39455,1973,986,2343806,16787941,84,99.93,8.42146891504948
"2020-12-09","Jharkhand",123256.450367901,1316.1236728139,107622.196359312,32864877.5496321,0.155261947888994,12.6960955022662,26496,1325,662,4528093,32988134,181,32.177,17.0956127305081
"2020-12-09","Maharashtra",2111007.404798,22271.7652154609,1748087.65958167,110263325.595202,0.102839720240954,8.07178255198407,231739,11587,5793,19912066,112374333,585,24.89585,57.356644944341
"2020-12-09","Nagaland",14305.6602286899,147.712844388801,10608.5449996303,1964196.33977131,0.0609974635224346,4.38075875742946,2561,128,64,211983,1978502,15,75.623,1.0217333048237
"2020-12-10","Assam",252181.0765884,2645.25272322151,213685.138834207,30953394.9234116,0.134549406763785,10.8689836747867,24178,1209,604,4127732,31205576,153,57.0604,16.1064029930667
"2020-12-10","Delhi",604513.8060154,6572.23880016699,525022.191980083,16183427.1939846,0.120076906070822,9.59232346059728,39455,1973,986,2343806,16787941,84,99.93,8.42094383637781
"2020-12-10","Jharkhand",125793.3695556,1334.03685219937,108073.66306212,32862340.6304444,0.138882599448274,11.2512268557038,26496,1325,662,4528093,32988134,181,32.177,17.0997108006733
"2020-12-10","Maharashtra",2156657.905329,22631.637176931,1759418.65359577,110217675.094671,0.0954993674004005,7.42426926948665,231739,11587,5793,19912066,112374333,585,24.89585,57.3510691291244
