Date,States,Action_Buckets,Bucket_Value
2020-12-27,Assam,31,200
2020-12-27,Delhi,16,200
2020-12-27,Jharkhand,33,200
2020-12-27,Maharashtra,114,200
2020-12-27,Nagaland,1,200
2020-12-28,Assam,31,200
2020-12-28,Delhi,16,200
2020-12-28,Jharkhand,33,200
2020-12-28,Maharashtra,114,200
2020-12-28,Nagaland,1,200
2020-12-29,Assam,31,200
2020-12-29,Delhi,16,200
2020-12-29,Jharkhand,33,200
2020-12-29,Maharashtra,114,200
2020-12-29,Nagaland,1,200
2020-12-30,Assam,31,200
2020-12-30,Delhi,16,200
2020-12-30,Jharkhand,33,200
2020-12-30,Maharashtra,114,200
2020-12-30,Nagaland,1,200
2020-12-31,Assam,31,200
2020-12-31,Delhi,16,200
2020-12-31,Jharkhand,33,200
2020-12-31,Maharashtra,114,200
2020-12-31,Nagaland,1,200
2021-01-01,Assam,31,200
2021-01-01,Delhi,16,200
2021-01-01,Jharkhand,33,200
2021-01-01,Maharashtra,114,200
2021-01-01,Nagaland,1,200
2021-01-02,Assam,31,200
2021-01-02,Delhi,16,200
2021-01-02,Jharkhand,33,200
2021-01-02,Maharashtra,114,200
2021-01-02,Nagaland,1,200
2021-01-03,Assam,31,200
2021-01-03,Delhi,16,200
2021-01-03,Jharkhand,33,200
2021-01-03,Maharashtra,114,200
2021-01-03,Nagaland,1,200
2021-01-04,Assam,31,200
2021-01-04,Delhi,16,200
2021-01-04,Jharkhand,33,200
2021-01-04,Maharashtra,114,200
2021-01-04,Nagaland,1,200
2021-01-05,Assam,31,200
2021-01-05,Delhi,16,200
2021-01-05,Jharkhand,33,200
2021-01-05,Maharashtra,114,200
2021-01-05,Nagaland,1,200
2021-01-06,Assam,31,200
2021-01-06,Delhi,16,200
2021-01-06,Jharkhand,33,200
2021-01-06,Maharashtra,114,200
2021-01-06,Nagaland,1,200
2021-01-07,Assam,31,200
2021-01-07,Delhi,16,200
2021-01-07,Jharkhand,33,200
2021-01-07,Maharashtra,114,200
2021-01-07,Nagaland,1,200
2021-01-08,Assam,31,200
2021-01-08,Delhi,16,200
2021-01-08,Jharkhand,33,200
2021-01-08,Maharashtra,114,200
2021-01-08,Nagaland,1,200
2021-01-09,Assam,31,200
2021-01-09,Delhi,16,200
2021-01-09,Jharkhand,33,200
2021-01-09,Maharashtra,114,200
2021-01-09,Nagaland,1,200
2021-01-10,Assam,31,200
2021-01-10,Delhi,16,200
2021-01-10,Jharkhand,33,200
2021-01-10,Maharashtra,114,200
2021-01-10,Nagaland,1,200
2021-01-11,Assam,31,200
2021-01-11,Delhi,16,200
2021-01-11,Jharkhand,33,200
2021-01-11,Maharashtra,114,200
2021-01-11,Nagaland,1,200
2021-01-12,Assam,31,200
2021-01-12,Delhi,16,200
2021-01-12,Jharkhand,33,200
2021-01-12,Maharashtra,114,200
2021-01-12,Nagaland,1,200
2021-01-13,Assam,31,200
2021-01-13,Delhi,16,200
2021-01-13,Jharkhand,33,200
2021-01-13,Maharashtra,114,200
2021-01-13,Nagaland,1,200
2021-01-14,Assam,31,200
2021-01-14,Delhi,16,200
2021-01-14,Jharkhand,33,200
2021-01-14,Maharashtra,114,200
2021-01-14,Nagaland,1,200
2021-01-15,Assam,31,200
2021-01-15,Delhi,16,200
2021-01-15,Jharkhand,33,200
2021-01-15,Maharashtra,114,200
2021-01-15,Nagaland,1,200
2021-01-16,Assam,31,200
2021-01-16,Delhi,16,200
2021-01-16,Jharkhand,33,200
2021-01-16,Maharashtra,114,200
2021-01-16,Nagaland,1,200
2021-01-17,Assam,31,200
2021-01-17,Delhi,16,200
2021-01-17,Jharkhand,33,200
