Date,State / UT,Confirmed cases,Death Rate,Recovery Rate,Population,Susceptible,Overall Hospital Beds,Overall ICU Beds,Ventilators,Age Distribution
2020-12-15,Jharkhand,144537.852797002,0.010146195211552,0.770804908707584,32988134,32843596.147203,26496,1325,662,4528093
2020-12-15,Maharashtra,2457763.545854,0.010176088139099,0.746318501774349,112374333,109916569.454146,231739,11587,5793,19912066
2020-12-15,Nagaland,16777.6925126,0.010097075693758,0.684336636194999,1978502,1961724.3074874,2561,128,64,211983
2020-12-16,Assam,316995.290041201,0.009695625913276,0.704115736870626,31205576,30888580.7099588,24178,1209,604,4127732
2020-12-16,Delhi,647525.033214301,0.01076878053598,0.839834354775189,16787941,16140415.9667857,39455,1973,986,2343806
2020-12-16,Jharkhand,149907.829752501,0.010035996121461,0.749572460198199,32988134,32838226.1702475,26496,1325,662,4528093
2020-12-16,Maharashtra,2535913.70179801,0.010106249189175,0.730993442585739,112374333,109838419.298202,231739,11587,5793,19912066
2020-12-16,Nagaland,17282.40952022,0.010059075813975,0.6746730063734,1978502,1961219.59047978,2561,128,64,211983
2020-12-17,Assam,334562.755085699,0.009533689656843,0.674863297811159,31205576,30871013.2449143,24178,1209,604,4127732
2020-12-17,Delhi,655854.4589829,0.010750703045046,0.834725858420168,16787941,16132086.5410171,39455,1973,986,2343806
2020-12-17,Jharkhand,155992.342984501,0.009920330346704,0.727282555619727,32988134,32832141.6570155,26496,1325,662,4528093
2020-12-17,Maharashtra,2621365.782574,0.010034748542905,0.715288361187606,112374333,109752967.217426,231739,11587,5793,19912066
2020-12-17,Nagaland,17818.07074985,0.010021179954066,0.665018560921173,1978502,1960683.92925015,2561,128,64,211983
2020-12-18,Assam,354926.505943902,0.009366154956866,0.644583651647074,31205576,30850649.4940561,24178,1209,604,4127732
2020-12-18,Delhi,664555.627965501,0.010732354633255,0.829529152918651,16787941,16123385.3720345,39455,1973,986,2343806
2020-12-18,Jharkhand,162886.210648399,0.00979975213346,0.70404141366297,32988134,32825247.7893516,26496,1325,662,4528093
2020-12-18,Maharashtra,2714790.267773,0.009961834160555,0.699256384278459,112374333,109659542.732227,231739,11587,5793,19912066
2020-12-18,Nagaland,18386.56385157,0.009983442866713,0.655390757872202,1978502,1960115.43614843,2561,128,64,211983
2020-12-19,Assam,378527.7808857,0.009194683318334,0.613572580945728,31205576,30827048.2191143,24178,1209,604,4127732
2020-12-19,Delhi,673644.787035801,0.010713740128087,0.824247343089441,16787941,16114296.2129642,39455,1973,986,2343806
2020-12-19,Jharkhand,170696.7451334,0.009674945560144,0.679980043226007,32988134,32817437.2548666,26496,1325,662,4528093
2020-12-19,Maharashtra,2816916.65097199,0.009887779644387,0.682955803458466,112374333,109557416.349028,231739,11587,5793,19912066
2020-12-19,Nagaland,18989.8862705899,0.009945923350233,0.64580696112769,1978502,1959512.11372941,2561,128,64,211983
2020-12-20,Assam,405876.0886668,0.009021112941874,0.582157125325748,31205576,30799699.9113332,24178,1209,604,4127732
2020-12-20,Delhi,683138.8021423,0.0106948674693,0.818883857462939,16787941,16104802.1978577,39455,1973,986,2343806
2020-12-20,Jharkhand,179545.3846162,0.00954671359236,0.655252154964573,32988134,32808588.6153838,26496,1325,662,4528093
2020-12-20,Maharashtra,2928538.19287001,0.009812880522395,0.666449332045756,112374333,109445794.80713,231739,11587,5793,19912066
2020-12-20,Nagaland,19630.1522379499,0.009908682369204,0.636284296526406,1978502,1958871.84776205,2561,128,64,211983
2020-12-21,Assam,437559.312798999,0.008847385825807,0.550682397909807,31205576,30768016.687201,24178,1209,604,4127732
2020-12-21,Delhi,693055.187657099,0.010675747196078,0.813442439276252,16787941,16094885.8123429,39455,1973,986,2343806
2020-12-21,Jharkhand,189569.521999501,0.009415960810392,0.630030848385689,32988134,32798564.4780005,26496,1325,662,4528093
2020-12-21,Maharashtra,3050516.887481,0.009737450014224,0.649803232633422,112374333,109323816.112519,231739,11587,5793,19912066
2020-12-21,Nagaland,20309.5996844801,0.009871781720136,0.626839522188711,1978502,1958192.40031552,2561,128,64,211983
2020-12-22,Assam,474255.1628411,0.00867546596193,0.519496783887234,31205576,30731320.8371589,24178,1209,604,4127732
2020-12-22,Delhi,703412.134511501,0.010656392044109,0.807927137190555,16787941,16084528.8654885,39455,1973,986,2343806
2020-12-22,Jharkhand,200924.565542001,0.009283670201727,0.604504146460583,32988134,32787209.434458,26496,1325,662,4528093
2020-12-22,Maharashtra,3183788.806945,0.009661814320645,0.633086317840636,112374333,109190544.193055,231739,11587,5793,19912066
2020-12-22,Nagaland,21030.5974608201,0.009835282920184,0.617488907505878,1978502,1957471.40253918,2561,128,64,211983
2020-12-23,Assam,516744.065662298,0.008507256119014,0.488936883958762,31205576,30688831.9343377,24178,1209,604,4127732
2020-12-23,Delhi,714228.5374752,0.010636816617601,0.802342295307574,16787941,16073712.4625248,39455,1973,986,2343806
2020-12-23,Jharkhand,213786.2531907,0.009150875204761,0.578869610360066,32988134,32774347.7468093,26496,1325,662,4528093
2020-12-23,Maharashtra,3329369.679768,0.00958630761267,0.616368875534029,112374333,109044963.320232,231739,11587,5793,19912066
2020-12-23,Nagaland,21795.6528376001,0.009799246307715,0.608248122422776,1978502,1956706.3471624,2561,128,64,211983
2020-12-24,Assam,565923.623468202,0.00834452090836,0.459313557171551,31205576,30639652.3765318,24178,1209,604,4127732
2020-12-24,Delhi,725524.021110499,0.010617037149849,0.79669254254846,16787941,16062416.9788895,39455,1973,986,2343806
2020-12-24,Jharkhand,228353.2477521,0.009018628630591,0.553328349908099,32988134,32759780.7522479,26496,1325,662,4528093
2020-12-24,Maharashtra,3488360.692818,0.009511266861958,0.59972155142762,112374333,108885972.307182,231739,11587,5793,19912066
2020-12-24,Nagaland,22607.41928538,0.009763730337291,0.599132137992494,1978502,1955894.58071462,2561,128,64,211983
2020-12-25,Assam,622824.725869499,0.00818882274971,0.430900274087031,31205576,30582751.2741305,24178,1209,604,4127732
2020-12-25,Delhi,737318.965012999,0.010597071312772,0.790982780907605,16787941,16050622.034987,39455,1973,986,2343806
2020-12-25,Jharkhand,244850.0638192,0.008887970312937,0.528078780453363,32988134,32743283.9361808,26496,1325,662,4528093
2020-12-25,Maharashtra,3661954.412209,0.009437026680873,0.583214230590505,112374333,108712378.587791,231739,11587,5793,19912066
2020-12-25,Nagaland,23468.70456879,0.009728791007929,0.59015513857231,1978502,1955033.29543121,2561,128,64,211983
2020-12-26,Assam,688629.325574599,0.008041475645413,0.403924664357347,31205576,30516946.6744254,24178,1209,604,4127732
2020-12-26,Delhi,749634.5285204,0.010576938059736,0.785218172391619,16787941,16038306.4714796,39455,1973,986,2343806
2020-12-26,Jharkhand,263530.322707798,0.008759895893385,0.503310600590666,32988134,32724603.6772922,26496,1325,662,4528093
2020-12-26,Maharashtra,3851441.27474099,0.009363914304746,0.56691492341702,112374333,108522891.725259,231739,11587,5793,19912066
2020-12-26,Nagaland,24382.4791412,0.00969448140546,0.581330446413146,1978502,1954119.5208588,2561,128,64,211983
2020-12-27,Assam,764689.923950501,0.007903519181313,0.378563657060314,31205576,30440886.0760495,24178,1209,604,4127732
2020-12-27,Delhi,762492.6749135,0.01055665749434,0.779404124572503,16787941,16025448.3250865,39455,1973,986,2343806
2020-12-27,Jharkhand,284680.3924319,0.008635328536521,0.479199327334838,32988134,32703453.6075681,26496,1325,662,4528093
2020-12-27,Maharashtra,4058215.95361499,0.009292244913653,0.550888746159913,112374333,108316117.046385,231739,11587,5793,19912066
2020-12-27,Nagaland,25351.88483126,0.009660851344992,0.572670459060347,1978502,1953150.11516874,2561,128,64,211983
2020-12-28,Assam,852550.650688902,0.007775712523016,0.354942210535571,31205576,30353025.3493111,24178,1209,604,4127732
2020-12-28,Delhi,775916.1951914,0.010536250755344,0.773546274688529,16787941,16012024.8048086,39455,1973,986,2343806
2020-12-28,Jharkhand,308623.4570009,0.008515095274286,0.455901712204564,32988134,32679510.5429991,26496,1325,662,4528093
2020-12-28,Maharashtra,4283783.56524201,0.009222317438812,0.535197015006471,112374333,108090549.434758,231739,11587,5793,19912066
2020-12-28,Nagaland,26380.2445326,0.009627947080974,0.564186595155261,1978502,1952121.7554674,2561,128,64,211983
2020-12-29,Assam,953969.6817936,0.007658546253368,0.333135239080822,31205576,30251606.3182064,24178,1209,604,4127732
2020-12-29,Delhi,789928.731423199,0.010515739912013,0.767650472298983,16787941,15998012.2685768,39455,1973,986,2343806
2020-12-29,Jharkhand,335724.040159401,0.008399909227706,0.433552290605155,32988134,32652409.9598406,26496,1325,662,4528093
2020-12-29,Maharashtra,4529766.221237,0.009154411068748,0.519896446465938,112374333,107844566.778763,231739,11587,5793,19912066
2020-12-29,Nagaland,27471.0711672599,0.009595811120744,0.555889261108931,1978502,1951030.92883274,2561,128,64,211983
2020-12-30,Assam,1070942.6140888,0.007552268346457,0.313172059404934,31205576,30134633.3859112,24178,1209,604,4127732
2020-12-30,Delhi,804554.799639501,0.010495147866145,0.761722760541567,16787941,15983386.2003605,39455,1973,986,2343806
2020-12-30,Jharkhand,366393.024744201,0.008290358359785,0.41226117990105,32988134,32621740.9752558,26496,1325,662,4528093
2020-12-30,Maharashtra,4797909.431549,0.009088782356889,0.505038514474959,112374333,107576423.568451,231739,11587,5793,19912066
2020-12-30,Nagaland,28628.07755255,0.009564482088739,0.547787825710341,1978502,1949873.92244745,2561,128,64,211983
2020-12-31,Assam,1205726.2069227,0.007456920628034,0.295042611976181,31205576,29999849.7930773,24178,1209,604,4127732
2020-12-31,Delhi,819819.8122069,0.01047449825782,0.755769356075007,16787941,15968121.1877931,39455,1973,986,2343806
2020-12-31,Jharkhand,401093.2011941,0.008186900802119,0.392113136767376,32988134,32587040.7988059,26496,1325,662,4528093
2020-12-31,Maharashtra,5090088.205688,0.009025663089868,0.49066897566991,112374333,107284244.794312,231739,11587,5793,19912066
2020-12-31,Nagaland,29855.18685677,0.009533994647131,0.539890605902336,1978502,1948646.81314323,2561,128,64,211983
