Date,Name of State,Susceptible,Infected People,Recovery,Death,Vaccine Distribution,Amount of Vaccine
2021-01-07,Delhi,15841043.03,186872.7826,676013.6636,9781.870345,8.673354773,86733.54773
2021-01-07,Jharkhand,32178385.99,315164.1718,231078.5354,6192.327348,17.61844578,176184.4578
2021-01-07,Maharashtra,104378993.7,2864777.92,3248754.591,69304.3478,57.15002739,571500.2739
2021-01-07,Nagaland,1937715.392,13608.37333,20018.47825,381.2013779,1.060946114,10609.46114
2021-01-08,Assam,27908659.21,1368566.251,683775.2212,23265.79387,15.37156669,153715.6669
2021-01-08,Delhi,15819637.19,195105.851,685561.7593,9983.441528,8.713159817,87131.59817
2021-01-08,Jharkhand,32086249.27,356456.3544,247848.2412,6850.529672,17.67250504,176725.0504
2021-01-08,Maharashtra,103809975,3121753.841,3398331.156,73913.11611,57.17658958,571765.8958
2021-01-08,Nagaland,1935757.328,14435.21964,20719.36898,398.5201407,1.066178874,10661.78874
2021-01-09,Assam,27461237.84,1570582.059,757147.6227,26387.65511,15.22509995,152250.9995
2021-01-09,Delhi,15797320.12,203684.6894,695530.063,10193.69601,8.758373503,87583.73503
2021-01-09,Jharkhand,31982373.27,403046.6494,266812.447,7593.669897,17.73171452,177317.1452
2021-01-09,Maharashtra,103193580.4,3400289.668,3561289.27,78917.98842,57.21273691,572127.3691
2021-01-09,Nagaland,1933682.526,15311.24133,21462.82007,416.87884,1.072075116,10720.75116
2021-01-10,Assam,26957016.18,1799455.095,841281.2477,29935.9674,15.05520921,150552.0921
2021-01-10,Delhi,15774056.41,212622.2886,705936.2026,10412.98088,8.809644126,88096.44126
2021-01-10,Jharkhand,31865343.62,455583.6758,288251.9903,8432.284544,17.79645831,177964.5831
2021-01-10,Maharashtra,102526510.5,3701914.094,3738744.896,84348.94515,57.25997474,572599.7474
2021-01-10,Nagaland,1931484.323,16239.22934,22251.3595,436.3377722,1.078713622,10787.13622
2021-01-11,Assam,26391209.75,2057833.352,937585.03,33956.72093,14.85915164,148591.5164
2021-01-11,Delhi,15749809.51,221931.9928,716798.4771,10641.65486,8.867680189,88676.80189
2021-01-11,Jharkhand,31733597.95,514786.8017,312481.8856,9378.099605,17.8670985,178670.985
2021-01-11,Maharashtra,101805355.7,4028211.437,3931891.859,90237.47993,57.31988918,573198.8918
2021-01-11,Nagaland,1929155.712,17222.11625,23087.65829,456.9604609,1.086180494,10861.80494
2021-01-12,Assam,25759364.33,2348339.503,1047600.125,38497.11777,14.634121,146341.21
2021-01-12,Delhi,15724541.91,231627.4684,728135.8277,10880.0876,8.933250289,89332.50289
2021-01-12,Jharkhand,31585416.79,581451.4339,339854.9957,10444.13211,17.94395254,179439.5254
2021-01-12,Maharashtra,101026615.4,4380812.956,4142004.415,96616.53033,57.39410705,573941.0705
2021-01-12,Nagaland,1926689.33,18262.98123,23974.53773,478.8137953,1.094569121,10945.69121
2021-01-13,Assam,25057608.72,2673470.556,1172996.136,43604.39156,14.37733079,143773.3079
2021-01-13,Delhi,15698214.96,241722.7166,739967.8875,11128.66038,9.007181487,90071.81487
2021-01-13,Jharkhand,31418915.57,656453.9782,370765.9588,11644.7909,18.02726458,180272.6458
2021-01-13,Maharashtra,100186724.1,4761385.474,4370439.325,103520.3723,57.48424318,574842.4318
2021-01-13,Nagaland,1924077.445,19365.055,24914.97687,501.9681704,1.103979961,11039.79961
2021-01-14,Assam,24282961.24,3035467.889,1315561.667,49324.22705,14.08612812,140861.2812
2021-01-14,Delhi,15670789,252232.0703,752315.0019,11387.76633,9.090355141,90903.55141
2021-01-14,Jharkhand,31232038.81,740756.1984,405655.3501,12995.9732,18.11716849,181171.6849
2021-01-14,Maharashtra,99282082.42,5171617.089,4618637.279,110984.4746,57.59182824,575918.2824
2021-01-14,Nagaland,1921311.943,20531.72457,25912.12016,526.4976284,1.114520009,11145.20009
2021-01-15,Assam,23433665.43,3436162.82,1477188.069,55698.82523,13.75813186,137581.3186
2021-01-15,Delhi,15642223.25,263170.179,765198.2411,11657.81036,9.183700721,91837.00721
2021-01-15,Jharkhand,31022557.14,835408.6316,445014.0381,14515.15272,18.21364367,182136.4367
2021-01-15,Maharashtra,98309095.35,5613199.617,4888123.555,119045.3068,57.71822174,577182.2174
2021-01-15,Nagaland,1918384.316,21766.53776,26969.2854,552.4799994,1.126302006,11263.02006
2021-01-16,Assam,22509565.34,3876789.569,1659843.778,62764.49212,13.39140771,133914.0771
2021-01-16,Delhi,15612475.9,274551.9971,778639.4156,11939.20926,9.288186018,92881.86018
2021-01-16,Jharkhand,30788068.46,941552.5366,489387.6866,16221.45277,18.31646107,183164.6107
2021-01-16,Maharashtra,97264217.26,6087807.356,5180507.679,127740.0951,57.86450201,578645.0201
2021-01-16,Nagaland,1915285.648,23073.20741,28089.97189,579.9970421,1.139443193,11394.43193
2021-01-17,Assam,21512451.48,4357786.735,1865540.08,70549.00015,12.98465392,129846.5392
2021-01-17,Delhi,15581504.1,286392.7698,792661.0907,12232.39165,9.404806256,94048.06256
2021-01-17,Jharkhand,30526004.28,1060419.93,539381.2955,18135.6982,18.4251247,184251.247
2021-01-17,Maharashtra,96144004.68,6597071.837,5497481.936,137106.519,58.03135121,580313.5121
2021-01-17,Nagaland,1912006.61,24455.61525,29277.8688,609.1345813,1.154063922,11540.63922
2021-01-18,Assam,20446378.53,4878587.636,2096286.124,79068.70145,12.53740647,125374.0647
2021-01-18,Delhi,15549263.98,298708.0153,807286.601,12537.79798,9.534570757,95345.70757
2021-01-18,Jharkhand,30233642.84,1193331.002,595663.6894,20280.43689,18.53880718,185388.0718
2021-01-18,Maharashtra,94945176.75,7142552.337,5840818.514,147182.3447,58.21892963,582189.2963
2021-01-18,Nagaland,1908537.443,25917.81524,30536.86365,639.982644,1.170285958,11702.85958
2021-01-19,Assam,19317901.23,5437415.51,2354033.036,88325.57264,12.05024345,120502.4345
2021-01-19,Delhi,15515710.69,311513.5041,822540.0635,12855.88041,9.678488824,96784.88824
2021-01-19,Jharkhand,29908130.93,1341688.138,658971.7854,22679.92047,18.65628437,186562.8437
2021-01-19,Maharashtra,93664683.4,7725701.983,6212365.062,158004.9905,58.42675269,584267.5269
2021-01-19,Nagaland,1904867.952,27464.03646,31871.05105,672.635589,1.188230662,11882.30662
