Date,State,Susceptible,Infected People,Recovery,Death,Bucket_Value,Vaccine %,Amount of Vaccine
2020-12-29,Nagaland,1951030.929,7982.664037,15270.87345,263.6072102,500,0.8065,8065
2020-12-30,Assam,30134633.39,378080.1071,335389.304,8088.046005,200,15.8974,158974
2020-12-30,Delhi,15983386.2,132014.4997,612847.703,8443.921589,200,8.2051,82051
2020-12-30,Jharkhand,32621740.98,116899.4445,151049.6207,3037.529476,200,16.9231,169231
2020-12-30,Maharashtra,107576423.6,1423581.375,2423129.052,43607.15459,200,58.4615,584615
2020-12-30,Nagaland,1949873.922,8471.683336,15682.11236,273.812735,200,0.5128,5128
2020-12-30,Assam,30134633.39,378080.1071,335389.304,8088.046005,300,15.9864,159864
2020-12-30,Delhi,15983386.2,132014.4997,612847.703,8443.921589,300,8.1633,81633
2020-12-30,Jharkhand,32621740.98,116899.4445,151049.6207,3037.529476,300,17.0068,170068
2020-12-30,Maharashtra,107576423.6,1423581.375,2423129.052,43607.15459,300,58.1633,581633
2020-12-30,Nagaland,1949873.922,8471.683336,15682.11236,273.812735,300,0.6803,6803
2020-12-30,Assam,30134633.39,378080.1071,335389.304,8088.046005,400,16.1616,161616
2020-12-30,Delhi,15983386.2,132014.4997,612847.703,8443.921589,400,8.3333,83333
2020-12-30,Jharkhand,32621740.98,116899.4445,151049.6207,3037.529476,400,17.1717,171717
2020-12-30,Maharashtra,107576423.6,1423581.375,2423129.052,43607.15459,400,57.5758,575758
2020-12-30,Nagaland,1949873.922,8471.683336,15682.11236,273.812735,400,0.7576,7576
2020-12-30,Assam,30134633.39,378080.1071,335389.304,8088.046005,500,16.129,161290
2020-12-30,Delhi,15983386.2,132014.4997,612847.703,8443.921589,500,8.2661,82661
2020-12-30,Jharkhand,32621740.98,116899.4445,151049.6207,3037.529476,500,17.1371,171371
2020-12-30,Maharashtra,107576423.6,1423581.375,2423129.052,43607.15459,500,57.6613,576613
2020-12-30,Nagaland,1949873.922,8471.683336,15682.11236,273.812735,500,0.8065,8065
2020-12-31,Assam,29999849.79,437381.3349,355740.6094,8991.004624,200,15.8974,158974
2020-12-31,Delhi,15968121.19,137906.6103,619594.6916,8587.201195,200,8.2051,82051
2020-12-31,Jharkhand,32587040.8,132391.4542,157273.9133,3283.710251,200,16.9231,169231
2020-12-31,Maharashtra,107284244.8,1555074.324,2497548.366,45941.42124,200,58.4615,584615
2020-12-31,Nagaland,1948646.813,8990.293133,16118.53492,284.6391917,200,0.5128,5128
2020-12-31,Assam,29999849.79,437381.3349,355740.6094,8991.004624,300,15.9864,159864
2020-12-31,Delhi,15968121.19,137906.6103,619594.6916,8587.201195,300,8.1633,81633
2020-12-31,Jharkhand,32587040.8,132391.4542,157273.9133,3283.710251,300,17.0068,170068
2020-12-31,Maharashtra,107284244.8,1555074.324,2497548.366,45941.42124,300,58.1633,581633
2020-12-31,Nagaland,1948646.813,8990.293133,16118.53492,284.6391917,300,0.6803,6803
2020-12-31,Assam,29999849.79,437381.3349,355740.6094,8991.004624,400,16.1616,161616
2020-12-31,Delhi,15968121.19,137906.6103,619594.6916,8587.201195,400,8.3333,83333
2020-12-31,Jharkhand,32587040.8,132391.4542,157273.9133,3283.710251,400,17.1717,171717
2020-12-31,Maharashtra,107284244.8,1555074.324,2497548.366,45941.42124,400,57.5758,575758
2020-12-31,Nagaland,1948646.813,8990.293133,16118.53492,284.6391917,400,0.7576,7576
2020-12-31,Assam,29999849.79,437381.3349,355740.6094,8991.004624,500,16.129,161290
2020-12-31,Delhi,15968121.19,137906.6103,619594.6916,8587.201195,500,8.2661,82661
2020-12-31,Jharkhand,32587040.8,132391.4542,157273.9133,3283.710251,500,17.1371,171371
2020-12-31,Maharashtra,107284244.8,1555074.324,2497548.366,45941.42124,500,57.6613,576613
2020-12-31,Nagaland,1948646.813,8990.293133,16118.53492,284.6391917,500,0.8065,8065
2021-01-01,Assam,29844714.54,505742.151,379278.3561,10032.78692,200,16.129,161290
2021-01-01,Delhi,15952190.9,144053.2214,626642.6064,8736.777239,200,8.2661,82661
2021-01-01,Jharkhand,32547788.61,149920.9611,164322.7109,3562.335311,200,17.1371,171371
2021-01-01,Maharashtra,106966020.2,1698336.161,2578832.602,48486.92487,200,57.6613,576613
2021-01-01,Nagaland,1947345.457,9540.237137,16581.66387,296.1236092,200,0.8065,8065
2021-01-01,Assam,29844714.54,505742.151,379278.3561,10032.78692,300,16.129,161290
2021-01-01,Delhi,15952190.9,144053.2214,626642.6064,8736.777239,300,8.2661,82661
2021-01-01,Jharkhand,32547788.61,149920.9611,164322.7109,3562.335311,300,17.1371,171371
2021-01-01,Maharashtra,106966020.2,1698336.161,2578832.602,48486.92487,300,57.6613,576613
2021-01-01,Nagaland,1947345.457,9540.237137,16581.66387,296.1236092,300,0.8065,8065
2021-01-01,Assam,29844714.54,505742.151,379278.3561,10032.78692,400,16.129,161290
2021-01-01,Delhi,15952190.9,144053.2214,626642.6064,8736.777239,400,8.2661,82661
2021-01-01,Jharkhand,32547788.61,149920.9611,164322.7109,3562.335311,400,17.1371,171371
2021-01-01,Maharashtra,106966020.2,1698336.161,2578832.602,48486.92487,400,57.6613,576613
2021-01-01,Nagaland,1947345.457,9540.237137,16581.66387,296.1236092,400,0.8065,8065
2021-01-01,Assam,29844714.54,505742.151,379278.3561,10032.78692,500,16.129,161290
2021-01-01,Delhi,15952190.9,144053.2214,626642.6064,8736.777239,500,8.2661,82661
2021-01-01,Jharkhand,32547788.61,149920.9611,164322.7109,3562.335311,500,17.1371,171371
2021-01-01,Maharashtra,106966020.2,1698336.161,2578832.602,48486.92487,500,57.6613,576613
2021-01-01,Nagaland,1947345.457,9540.237137,16581.66387,296.1236092,500,0.8065,8065
2021-01-02,Assam,29666381.18,584465.2705,406487.4484,11233.65775,200,16.129,161290
2021-01-02,Delhi,15935568.07,150464.5374,634004.4262,8892.912532,200,8.2661,82661
2021-01-02,Jharkhand,32503398.86,169751.5357,172304.3475,3877.620648,200,17.1371,171371
2021-01-02,Maharashtra,106619599.2,1854347.339,2667594.439,51261.72555,200,57.6613,576613
2021-01-02,Nagaland,1945965.478,10123.35604,17073.11157,308.3051324,200,0.8065,8065
2021-01-02,Assam,29666381.18,584465.2705,406487.4484,11233.65775,300,16.129,161290
2021-01-02,Delhi,15935568.07,150464.5374,634004.4262,8892.912532,300,8.2661,82661
2021-01-02,Jharkhand,32503398.86,169751.5357,172304.3475,3877.620648,300,17.1371,171371
2021-01-02,Maharashtra,106619599.2,1854347.339,2667594.439,51261.72555,300,57.6613,576613
2021-01-02,Nagaland,1945965.478,10123.35604,17073.11157,308.3051324,300,0.8065,8065
2021-01-02,Assam,29666381.18,584465.2705,406487.4484,11233.65775,400,16.129,161290
2021-01-02,Delhi,15935568.07,150464.5374,634004.4262,8892.912532,400,8.2661,82661
2021-01-02,Jharkhand,32503398.86,169751.5357,172304.3475,3877.620648,400,17.1371,171371
2021-01-02,Maharashtra,106619599.2,1854347.339,2667594.439,51261.72555,400,57.6613,576613
